City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Avarua,CK,78.85,few clouds,-21.2078,-159.775,Paradise Inn
7,Tricase,IT,79.95,clear sky,39.9304,18.3553,Hotel Adriatico
12,Izumo,JP,78.75,clear sky,35.3667,132.7667,Toyoko-Inn Izumoshi ekimae
14,Anloga,GH,77.22,broken clouds,5.7947,0.8973,Pin Drop Hotel
29,Kampong Chhnang,KH,76.84,overcast clouds,12.1667,104.55,រមណីយដ្ឋាន ទឹកធ្លាក់ស្រែអំពិល
34,Saint-Francois,FR,76.17,clear sky,46.4154,3.9054,Manoir Du Bonheur
37,Siocon,PH,79.21,overcast clouds,7.7061,122.1353,ABS Hotel
41,Hasaki,JP,79.29,clear sky,35.7333,140.8333,Hotel Sunrise Choshi
42,Wuda,CN,74.07,clear sky,39.4994,106.7117,Grape Sightseeing Garden
46,Rikitea,PF,71.33,broken clouds,-23.1203,-134.9692,People ThankYou
47,Vaini,TO,78.96,scattered clouds,-21.2,-175.2,Keleti Beach Resort
55,Agropoli,IT,78.28,clear sky,40.3469,14.9966,B&B Baia di Trentova
60,Ashta,IN,73.81,broken clouds,23.0167,76.7167,Digambar Jain Dharamshala
63,Remontnoye,RU,70.21,overcast clouds,46.5614,43.6501,Remontnoye
65,Ribeira Grande,PT,71.6,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
68,Jadu,LY,73.74,clear sky,31.953,12.0261,امياس للصرافة
74,Bandarbeyla,SO,77.52,few clouds,9.4942,50.8122,JABIR HOTEL
81,Tual,ID,79.75,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
87,Bayan,CN,78.06,scattered clouds,46.0833,127.4,Wanhao Inn
89,Anqing,CN,77.38,clear sky,30.5092,117.0506,Hongtian Hotel
92,Takaungu,KE,75.69,few clouds,-3.6837,39.8566,Takaungu House
99,Yellowknife,CA,70.32,light intensity shower rain,62.456,-114.3525,The Explorer Hotel
103,Sri Aman,MY,77.09,overcast clouds,1.2376,111.4621,Seri Simanggang Hotel
105,Broome,US,76.69,clear sky,42.2506,-75.833,Chenango Valley State Park
114,Senneterre,CA,73.62,overcast clouds,48.3835,-77.2328,Motel Senabi
115,Imeni Poliny Osipenko,RU,79.27,broken clouds,52.4201,136.4853,Yubileynaya
117,Puerto Carreno,CO,77.54,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
118,Hambantota,LK,79.56,overcast clouds,6.1241,81.1185,Bungalow 63
126,Jamestown,US,76.59,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
130,Ca Mau,VN,77.36,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
135,Fort Nelson,CA,71.19,broken clouds,58.8053,-122.7002,The Fort Nelson Hotel
136,Vao,NC,71.04,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
139,Dakar,SN,78.93,broken clouds,14.6937,-17.4441,Redface Studios Meublés
143,Bengkulu,ID,74.61,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
145,Savelugu,GH,79.54,overcast clouds,9.6244,-0.8253,Yoo Naa's Palace
152,Ponta Do Sol,PT,72.23,clear sky,32.6667,-17.1,Hotel do Campo
159,Vanimo,PG,78.28,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
163,Calabozo,VE,77.61,broken clouds,8.9242,-67.4293,Hotel Giardini
165,Tabuk,PH,78.96,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
167,Yining,CN,76.5,scattered clouds,29.0361,114.5636,Xiushui Hotel
173,Takoradi,GH,74.46,broken clouds,4.8845,-1.7554,Raybow International Hotel
179,Grand-Santi,GF,75.06,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
181,Atuona,PF,77.43,scattered clouds,-9.8,-139.0333,Villa Enata
184,Fairbanks,US,74.23,light rain,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
188,Salamiyah,SY,74.8,scattered clouds,35.0113,37.0532,Gondolas Forum grandchildren and grandparents
192,Baie-Saint-Paul,CA,75.18,broken clouds,47.4411,-70.4986,Hôtel Baie-Saint-Paul
205,Bijawar,IN,79.93,overcast clouds,24.6333,79.5,Shreya agro agency bijawer
212,Pitimbu,BR,75.79,few clouds,-7.4706,-34.8086,Reserva do Abiaí
217,Monrovia,LR,76.77,light rain,6.3005,-10.7969,Sunset Inn
219,Hrusovany Nad Jevisovkou,CZ,70.95,scattered clouds,48.8299,16.4027,Pension U pálenice
231,Prince Albert,CA,76.95,few clouds,53.2001,-105.7677,"Holiday Inn Express & Suites Prince Albert, an IHG Hotel"
238,Ribeira Brava,PT,73.71,clear sky,32.65,-17.0667,Hotel do Campo
241,Tezu,IN,75.61,overcast clouds,27.9167,96.1667,Circuit House
242,Itarema,BR,79.07,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
245,San Quintin,MX,75.18,broken clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
249,Mana,GF,78.1,broken clouds,5.6592,-53.7767,LE SAMANA
251,Linfen,CN,75.67,scattered clouds,36.0889,111.5189,Suoxing Hotel
252,Shahrud,IR,77.67,clear sky,36.4182,54.9763,Royal Hotel
254,San Felipe,VE,75.54,overcast clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
262,Ogaminana,NG,71.91,overcast clouds,7.5946,6.2248,Mashida Guest House
265,Praia Da Vitoria,PT,73.65,broken clouds,38.7333,-27.0667,Hotel Branco I
273,Kandrian,PG,79.88,moderate rain,-6.2167,149.55,Kandrian Station
277,Karpathos,GR,77.29,clear sky,35.507,27.2132,Alex
282,Owando,CG,74.21,overcast clouds,-0.4819,15.8999,Exaunel Hotel Owando
283,Manavalakurichi,IN,77.09,heavy intensity rain,8.1333,77.3,Udaya Boys Hostel
284,Faanui,PF,78.22,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
