City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hobart,AU,-42.8794,147.3294,46.11,81,75,1.99,broken clouds
1,Rajanpur,PK,29.1035,70.325,91.26,50,85,14.0,overcast clouds
2,Qaanaaq,GL,77.484,-69.3632,42.37,62,23,3.85,few clouds
3,Borovoy,RU,55.4333,86.0833,67.28,77,0,4.47,clear sky
4,Avarua,CK,-21.2078,-159.775,78.85,69,20,11.5,few clouds
5,Puerto Colombia,CO,10.9878,-74.9547,86.09,87,95,18.48,overcast clouds
6,Ambilobe,MG,-13.2,49.05,64.22,84,0,3.83,clear sky
7,Tricase,IT,39.9304,18.3553,79.95,62,0,8.86,clear sky
8,Clyde River,CA,70.4692,-68.5914,37.63,87,90,18.41,overcast clouds
9,Port Alfred,ZA,-33.5906,26.891,52.81,67,98,4.7,overcast clouds
10,Chuy,UY,-33.6971,-53.4616,59.72,87,5,4.14,light rain
11,Warrnambool,AU,-38.3833,142.4833,49.8,88,78,25.77,light rain
12,Izumo,JP,35.3667,132.7667,78.75,83,0,8.05,clear sky
13,Sitka,US,57.0531,-135.33,57.09,88,75,10.36,light rain
14,Anloga,GH,5.7947,0.8973,77.22,84,64,11.74,broken clouds
15,Ushuaia,AR,-54.8,-68.3,37.06,81,40,9.22,scattered clouds
16,Ust-Omchug,RU,61.15,149.6333,55.9,83,100,2.82,overcast clouds
17,Lebu,CL,-37.6167,-73.65,49.96,83,100,15.5,overcast clouds
18,Pachperwa,IN,27.5167,82.65,81.57,81,96,13.47,overcast clouds
19,Bredasdorp,ZA,-34.5322,20.0403,49.32,76,0,10.36,clear sky
20,Katsuura,JP,35.1333,140.3,82.51,77,0,3.74,clear sky
21,Upernavik,GL,72.7868,-56.1549,39.94,94,100,9.26,light rain
22,Bukachacha,RU,52.9833,116.9167,59.86,94,74,2.75,light rain
23,Ahipara,NZ,-35.1667,173.1667,57.6,67,2,3.58,clear sky
24,Busselton,AU,-33.65,115.3333,48.09,66,96,11.83,overcast clouds
25,Honiara,SB,-9.4333,159.95,84.25,69,83,4.23,broken clouds
26,Hithadhoo,MV,-0.6,73.0833,82.09,76,100,10.98,overcast clouds
27,Alofi,NU,-19.0595,-169.9187,80.49,83,6,11.5,clear sky
28,Oranjestad,AW,12.524,-70.027,84.15,74,20,20.71,few clouds
29,Kampong Chhnang,KH,12.1667,104.55,76.84,85,100,3.74,overcast clouds
30,Bull Savanna,JM,17.8868,-77.5902,81.7,70,68,10.45,broken clouds
31,Muros,ES,42.7762,-9.0603,64.9,86,34,6.31,scattered clouds
32,Tuktoyaktuk,CA,69.4541,-133.0374,59.0,55,75,12.66,broken clouds
33,Cherskiy,RU,68.75,161.3,53.22,59,2,8.88,clear sky
34,Saint-Francois,FR,46.4154,3.9054,76.17,82,0,3.44,clear sky
35,Urdoma,RU,61.7533,48.5442,47.07,93,100,9.17,overcast clouds
36,Hermanus,ZA,-34.4187,19.2345,48.9,74,0,10.67,clear sky
37,Siocon,PH,7.7061,122.1353,79.21,84,99,4.45,overcast clouds
38,Nikolskoye,RU,59.7035,30.7861,59.02,61,96,3.58,overcast clouds
39,Saint-Leu,RE,-21.15,55.2833,67.06,61,4,2.33,clear sky
40,Loiza,PR,18.4313,-65.8802,84.87,79,75,19.57,haze
41,Hasaki,JP,35.7333,140.8333,79.29,78,0,3.56,clear sky
42,Wuda,CN,39.4994,106.7117,74.07,67,1,21.05,clear sky
43,Mataura,NZ,-46.1927,168.8643,49.48,72,43,3.31,scattered clouds
44,Varkaus,FI,62.3153,27.873,51.31,77,73,4.12,broken clouds
45,Nanortalik,GL,60.1432,-45.2371,42.73,87,37,10.8,scattered clouds
46,Rikitea,PF,-23.1203,-134.9692,71.33,59,71,13.58,broken clouds
47,Vaini,TO,-21.2,-175.2,78.96,89,40,6.91,scattered clouds
48,Paamiut,GL,61.994,-49.6678,43.12,85,83,7.56,light rain
49,Victoria,HK,22.2855,114.1577,84.38,90,70,5.01,heavy intensity rain
50,Luderitz,NA,-26.6481,15.1594,65.17,22,1,23.06,clear sky
51,Aykhal,RU,66.0,111.5,60.24,77,41,16.26,scattered clouds
52,Dikson,RU,73.5069,80.5464,44.92,70,99,14.27,overcast clouds
53,Kasulu,TZ,-4.5767,30.1025,66.16,48,8,1.28,clear sky
54,Boguchany,RU,58.3814,97.4531,63.37,70,13,2.71,few clouds
55,Agropoli,IT,40.3469,14.9966,78.28,87,0,3.27,clear sky
56,Hamilton,US,39.1834,-84.5333,86.2,56,1,1.01,clear sky
57,Port Elizabeth,ZA,-33.918,25.5701,44.89,87,90,0.0,overcast clouds
58,Georgetown,MY,5.4112,100.3354,81.9,90,20,1.01,few clouds
