City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Barrow,US,2021-07-23 16:18:02,71.2906,-156.7887,35.62,93,90,17.27
1,Pisco,PE,2021-07-23 16:20:26,-13.7,-76.2167,65.01,72,75,2.3
2,Puerto Ayora,EC,2021-07-23 16:19:55,-0.7393,-90.3518,76.96,82,100,8.99
3,Coahuayana,MX,2021-07-23 16:26:02,18.7333,-103.6833,87.28,66,94,2.33
4,Kaitangata,NZ,2021-07-23 16:19:57,-46.2817,169.8464,44.92,75,59,5.53
5,Launceston,AU,2021-07-23 16:26:58,-41.45,147.1667,45.16,97,90,5.75
6,Bredasdorp,ZA,2021-07-23 16:19:50,-34.5322,20.0403,51.12,71,1,9.22
7,Makakilo City,US,2021-07-23 16:24:23,21.3469,-158.0858,77.32,73,90,3.44
8,Qaanaaq,GL,2021-07-23 16:20:06,77.484,-69.3632,42.21,61,87,2.89
9,Atuona,PF,2021-07-23 16:19:54,-9.8,-139.0333,76.68,75,51,11.68
10,Albany,US,2021-07-23 16:16:58,42.6001,-73.9662,77.58,56,15,1.01
11,Cherskiy,RU,2021-07-23 16:20:20,68.75,161.3,38.26,89,0,6.24
12,Alofi,NU,2021-07-23 16:19:52,-19.0595,-169.9187,75.09,100,17,8.05
13,Bluff,NZ,2021-07-23 16:19:47,-46.6,168.3333,43.81,84,100,10.2
14,Garowe,SO,2021-07-23 16:27:00,8.4054,48.4845,87.57,34,93,23.33
15,Cayenne,GF,2021-07-23 16:23:38,4.9333,-52.3333,87.1,76,75,5.01
16,Mayumba,GA,2021-07-23 16:27:00,-3.432,10.6554,73.74,75,77,6.96
17,Tucuman,AR,2021-07-23 16:24:23,-26.8241,-65.2226,73.4,33,0,9.22
18,Busselton,AU,2021-07-23 16:19:53,-33.65,115.3333,48.09,61,92,15.19
19,Mar Del Plata,AR,2021-07-23 16:17:43,-38.0023,-57.5575,64.87,61,0,8.99
20,Zagyvaszanto,HU,2021-07-23 16:27:01,47.777,19.6709,84.65,35,84,2.64
21,Kavaratti,IN,2021-07-23 16:20:48,10.5669,72.642,82.4,82,99,22.19
22,Norman Wells,CA,2021-07-23 16:20:48,65.282,-126.8329,57.24,94,90,12.66
23,Krasnoselkup,RU,2021-07-23 16:23:59,65.7,82.4667,71.91,73,78,23.44
24,Ostrovnoy,RU,2021-07-23 16:20:25,68.0531,39.5131,45.28,83,100,21.21
25,Tuatapere,NZ,2021-07-23 16:24:11,-46.1333,167.6833,42.82,92,90,6.17
26,Vao,NC,2021-07-23 16:21:31,-22.6667,167.4833,69.96,77,100,9.78
27,Srednekolymsk,RU,2021-07-23 16:23:20,67.45,153.6833,57.49,60,98,5.61
28,Hithadhoo,MV,2021-07-23 16:19:58,-0.6,73.0833,82.89,76,93,16.06
29,Arraial Do Cabo,BR,2021-07-23 16:20:19,-22.9661,-42.0278,76.96,57,20,16.11
30,Eureka,US,2021-07-23 16:23:06,40.8021,-124.1637,64.2,83,0,1.99
31,Ushuaia,AR,2021-07-23 16:19:48,-54.8,-68.3,40.62,75,40,10.36
32,Hermanus,ZA,2021-07-23 16:20:15,-34.4187,19.2345,50.81,69,0,12.59
33,Kodiak,US,2021-07-23 16:20:00,57.79,-152.4072,52.07,95,100,18.28
34,Port Elizabeth,ZA,2021-07-23 16:16:19,-33.918,25.5701,51.1,71,0,3.44
35,Bethel,US,2021-07-23 16:16:18,41.3712,-73.414,80.29,56,1,1.99
36,Erenhot,CN,2021-07-23 16:20:21,43.6475,111.9767,85.24,29,100,7.09
37,Rikitea,PF,2021-07-23 16:23:09,-23.1203,-134.9692,72.14,75,59,17.2
38,Vozrozhdeniye,RU,2021-07-23 16:27:03,44.5503,38.2136,77.25,56,53,8.72
39,Kudahuvadhoo,MV,2021-07-23 16:18:30,2.6708,72.8944,83.26,75,100,11.43
40,Chokurdakh,RU,2021-07-23 16:19:59,70.6333,147.9167,34.75,89,8,11.1
41,Saint-Augustin,CA,2021-07-23 16:25:00,51.226,-58.6502,49.96,89,100,14.45
42,Upernavik,GL,2021-07-23 16:15:31,72.7868,-56.1549,39.42,97,100,9.24
43,Mujiayingzi,CN,2021-07-23 16:24:41,42.1167,118.7833,71.08,78,41,8.79
44,Kirkland Lake,CA,2021-07-23 16:27:03,48.1446,-80.0377,70.09,64,0,4.41
45,Saurimo,AO,2021-07-23 16:27:04,-9.6608,20.3916,81.25,17,89,4.56
46,Namatanai,PG,2021-07-23 16:23:50,-3.6667,152.4333,78.22,83,78,6.89
47,Yanam,IN,2021-07-23 16:27:04,16.7333,82.2167,81.0,86,100,7.61
48,Puerto Leguizamo,CO,2021-07-23 16:23:35,-0.1934,-74.7819,80.26,70,100,3.8
49,Mahebourg,MU,2021-07-23 16:20:45,-20.4081,57.7,71.89,73,75,6.91
50,Sao Felix Do Xingu,BR,2021-07-23 16:23:52,-6.6447,-51.995,94.66,23,5,5.91
51,Haines Junction,CA,2021-07-23 16:21:49,60.7522,-137.5108,53.55,66,51,1.14
52,Cape Town,ZA,2021-07-23 16:16:50,-33.9258,18.4232,57.09,45,0,4.61
53,The Valley,AI,2021-07-23 16:24:32,18.217,-63.0578,89.46,70,20,18.41
54,New Norfolk,AU,2021-07-23 16:19:58,-42.7826,147.0587,47.91,75,35,3.11
55,Lasa,IT,2021-07-23 16:21:30,46.6166,10.7002,80.51,34,38,0.74
56,Pevek,RU,2021-07-23 16:21:11,69.7008,170.3133,43.57,71,96,4.45
57,Talnakh,RU,2021-07-23 16:20:31,69.4865,88.3972,59.47,45,100,6.98
58,Broome,US,2021-07-23 16:23:43,42.2506,-75.833,76.62,59,40,1.99
59,Provideniya,RU,2021-07-23 16:21:15,64.3833,-173.3,47.17,77,40,5.68
60,Esperance,AU,2021-07-23 16:20:05,-33.8667,121.9,51.8,76,91,24.38
61,Vanavara,RU,2021-07-23 16:27:05,60.34,102.2797,60.24,76,50,2.3
62,Mataura,NZ,2021-07-23 16:19:46,-46.1927,168.8643,43.48,90,92,3.18
63,Vaini,TO,2021-07-23 16:19:50,-21.2,-175.2,73.56,94,90,0.0
64,Carnarvon,AU,2021-07-23 16:19:49,-24.8667,113.6333,62.67,66,42,10.36
65,Yellowknife,CA,2021-07-23 16:15:33,62.456,-114.3525,62.33,100,75,5.01
66,Tezu,IN,2021-07-23 16:24:57,27.9167,96.1667,78.64,91,46,3.94
67,Hobart,AU,2021-07-23 16:21:58,-42.8794,147.3294,48.25,76,50,1.01
68,High Level,CA,2021-07-23 16:27:06,58.5169,-117.136,64.51,77,75,4.61
69,Rawson,AR,2021-07-23 16:20:21,-43.3002,-65.1023,52.83,35,0,27.38
70,Cidreira,BR,2021-07-23 16:21:07,-30.1811,-50.2056,66.92,63,9,7.72
71,Port Alfred,ZA,2021-07-23 16:19:54,-33.5906,26.891,53.17,63,69,8.59
72,Ilulissat,GL,2021-07-23 16:19:50,69.2167,-51.1,46.42,76,75,4.61
73,Tskaltubo,GE,2021-07-23 16:27:07,42.3254,42.5979,68.94,88,75,4.61
74,Sao Gabriel Da Cachoeira,BR,2021-07-23 16:27:07,-0.1303,-67.0892,82.2,94,40,3.44
75,Chuy,UY,2021-07-23 16:19:46,-33.6971,-53.4616,65.93,64,6,8.21
76,Kavieng,PG,2021-07-23 16:20:18,-2.5744,150.7967,81.21,80,37,12.37
77,Kuytun,RU,2021-07-23 16:27:07,54.3419,101.5036,58.62,78,17,2.28
78,Punta Arenas,CL,2021-07-23 16:14:59,-53.15,-70.9167,41.11,75,20,19.57
79,Clyde River,CA,2021-07-23 16:20:13,70.4692,-68.5914,35.83,93,90,25.32
80,Ponta Do Sol,PT,2021-07-23 16:19:55,32.6667,-17.1,81.72,67,4,4.07
81,Kruisfontein,ZA,2021-07-23 16:24:43,-34.0033,24.7314,48.88,77,93,5.91
82,Mareeba,AU,2021-07-23 16:27:08,-17.0,145.4333,63.45,96,19,2.01
83,Cockburn Town,TC,2021-07-23 16:24:05,21.4612,-71.1419,87.76,66,40,13.8
84,Nagydorog,HU,2021-07-23 16:27:08,46.6275,18.6556,79.99,31,2,2.89
85,Ribeira Grande,PT,2021-07-23 16:20:31,38.5167,-28.7,73.8,88,75,14.97
86,Maragogi,BR,2021-07-23 16:21:43,-9.0122,-35.2225,78.28,74,39,15.43
87,Tura,IN,2021-07-23 16:21:02,25.5198,90.2201,75.4,93,100,5.97
88,Necochea,AR,2021-07-23 16:23:48,-38.5473,-58.7368,65.03,53,98,10.63
